project_name,interview_technology,total,failed,succeed,complexity
Сбербанк Казахстан,IOS,12,0.0,12.0,0.0
ABB Switzerland Ltd,REACT,12,4.0,8.0,0.3333333333333333
Exness,PYTHON,12,8.0,4.0,0.6666666666666666
X5 Retail Group. 5POST,BI_ANALYST,12,8.0,4.0,0.6666666666666666
Уральский банк реконструкции и развития,SYSTEM_ANALYST,12,6.0,6.0,0.5
Exness,DEVOPS,12,8.0,4.0,0.6666666666666666
X5 Retail Group. 5POST,DEVOPS,12,12.0,0.0,1.0
JTI (Japan Tobacco International),PHP,12,6.0,6.0,0.5
IPF digital (Java),JAVA,12,12.0,0.0,1.0
inDriver,"PHP,YII",12,6.0,6.0,0.5
Reuter Gruppe,REACT,12,0.0,12.0,0.0
ГО ИНВЕСТ,QA_ENGINEER,12,0.0,12.0,0.0
МЦ НТТ - TM (РТК Контакт-центр),REACT,12,3.0,9.0,0.25
Reuter Gruppe,NODE_JS,12,3.0,9.0,0.25
BSS Group,QA_ENGINEER,12,12.0,0.0,1.0
ATG,NODE_JS,12,4.0,8.0,0.3333333333333333
Accenture Russia,BUSINESS_ANALYST,12,12.0,0.0,1.0
M10 (PayPoint),FLUTTER,12,4.0,8.0,0.3333333333333333
Majorel,SYSTEM_ANALYST,12,4.0,8.0,0.3333333333333333
Ингосстрах-Инвестиции,ANDROID,12,12.0,0.0,1.0
Thryve (mHealth Pioneers GmbH),JAVA,10,2.0,8.0,0.2
GMCS,SYSTEM_ANALYST,10,6.0,4.0,0.6
Jusan Bank - Staff augmentation,"ANGULAR,ANGULAR_JS",10,5.0,5.0,0.5
StormPay,"GRAPHIC_DESIGNER,WEB_DESIGNER",10,10.0,0.0,1.0
StormPay,ANDROID,10,5.0,5.0,0.5
M10 (PayPoint),JAVA,10,6.0,4.0,0.6
Wayflyer Limited,PYTHON,10,8.0,2.0,0.8
River Tech,JAVA,10,6.0,4.0,0.6
msg Plaut Austria GmbH,IOS,10,0.0,10.0,0.0
X5 Retail Group Портал поставщика,ANGULAR,10,0.0,10.0,0.0
МТС Диджитал,DATA_ENGINEER,10,5.0,5.0,0.5
X5 Retail Group Портал поставщика,DEVOPS,10,5.0,5.0,0.5
X5 Retail Group Портал поставщика,UX_UI,10,5.0,5.0,0.5
Сбер РБ ДомКлик_ЕФС,JAVA,10,10.0,0.0,1.0
ПАО Банк «ФК Открытие»,JAVA,10,10.0,0.0,1.0
МТС Диджитал,ORACLE,10,10.0,0.0,1.0
Уральский банк реконструкции и развития,"PHP,SYMFONY",9,6.0,3.0,0.6666666666666666
Уральский банк реконструкции и развития,JAVA,9,6.0,3.0,0.6666666666666666
Сбербанк Казахстан,ANDROID,9,3.0,6.0,0.3333333333333333
Сбер РБ Кошелек Клиента (ФИТ),SYSTEM_ANALYST,9,3.0,6.0,0.3333333333333333
Accenture Russia,"DATA_ENGINEER_ETL,SQL",9,0.0,9.0,0.0
Accenture Russia,JAVA,9,0.0,9.0,0.0
Alternative Payments PSD2,NET,9,6.0,3.0,0.6666666666666666
МЦ НТТ - TM (РТК Контакт-центр),JAVA,9,3.0,6.0,0.3333333333333333
JTI (Japan Tobacco International),NET,9,6.0,3.0,0.6666666666666666
ГО ИНВЕСТ,SYSTEM_ANALYST,9,0.0,9.0,0.0
JTI (Japan Tobacco International),DEVOPS,9,9.0,0.0,1.0
ГО ИНВЕСТ,ANDROID,9,0.0,9.0,0.0
tabby SA,IOS,9,3.0,6.0,0.3333333333333333
Самолёт Венчурс - Плафторма Самолёт+,QA_AUTOMATION_ENGINEER_JS,8,8.0,0.0,1.0
BSS Group,SYSTEM_ANALYST,8,8.0,0.0,1.0
SupplyStack,NODE_JS,8,4.0,4.0,0.5
inDriver,ANDROID,8,0.0,8.0,0.0
inDriver,IOS,8,0.0,8.0,0.0
Самолёт Венчурс - Плафторма Самолёт+,SOLUTIONS_ARCHITECT,8,8.0,0.0,1.0
МАГНИТ,VUE_JS,8,8.0,0.0,1.0
МАГНИТ,ANDROID,8,8.0,0.0,1.0
Самолёт Венчурс - Плафторма Самолёт+,DEVOPS,8,8.0,0.0,1.0
Ингосстрах-Инвестиции,QA_AUTOMATION_ENGINEER_PYTHON,8,8.0,0.0,1.0
Quincus,JAVA,8,8.0,0.0,1.0
Quincus,RUBY,8,8.0,0.0,1.0
Team Force,JAVA,8,6.0,2.0,0.75
Paysera,REACT,8,4.0,4.0,0.5
Team Force,IOS,8,8.0,0.0,1.0
Exness,NODE_JS,8,4.0,4.0,0.5
Exinity,SYSTEM_ANALYST,8,8.0,0.0,1.0
IPF digital,IOS,8,0.0,8.0,0.0
BSS Group,QA,8,4.0,4.0,0.5
Booking Group Corporation,REACT,8,0.0,8.0,0.0
BSS Group,REACT,8,4.0,4.0,0.5
BSS Group,NODE_REACT,8,8.0,0.0,1.0
Exness,"REACT,REDUX",8,0.0,8.0,0.0
Independer,ANGULAR,8,0.0,8.0,0.0
Ланит - Сбер,REACT,7,1.0,6.0,0.14285714285714285
Space (Neobank),SQL,7,0.0,7.0,0.0
Альфа-банк,GO,7,7.0,0.0,1.0
Space (Neobank),QA_MOBILE,7,0.0,7.0,0.0
Space (Neobank),"PYTHON,QA_MOBILE",7,0.0,7.0,0.0
Тинькофф Банк,ANGULAR,7,7.0,0.0,1.0
Тинькофф Банк,BUSINESS_ANALYST,7,7.0,0.0,1.0
Тинькофф Банк,"BUSINESS_ANALYST,SYSTEM_ANALYST",7,0.0,7.0,0.0
Альфа-банк,POSTGRESQL,7,0.0,7.0,0.0
Тинькофф Банк,REACT,7,7.0,0.0,1.0
Тинькофф Банк,SCALA,7,7.0,0.0,1.0
Тинькофф Банк,SYSTEM_ANALYST,7,7.0,0.0,1.0
Transporeon,JAVA,7,0.0,7.0,0.0
Backbase,"QA_AUTOMATION_ENGINEER_JS,QA_AUTOMATION_ENGINEER_JAVA",7,0.0,7.0,0.0
M10 (PayPoint),QA_AUTOMATION_ENGINEER_JAVA,6,4.0,2.0,0.6666666666666666
Ростелеком #2,QA_AUTOMATION_ENGINEER_PYTHON,6,6.0,0.0,1.0
IHS Kernel,DEVOPS,6,5.0,1.0,0.8333333333333334
ГО ИНВЕСТ,QA,6,0.0,6.0,0.0
Сбер Риски Департамент интегрированного риск-менеджмента,QA_AUTOMATION_ENGINEER_JAVA,6,3.0,3.0,0.5
Ростелеком #2,C_PLUSPLUS,6,6.0,0.0,1.0
Ростелеком #2,GO,6,6.0,0.0,1.0
Сбер РБ Социальные и зарплатные решения,JAVA,6,2.0,4.0,0.3333333333333333
Сбер РБ Платежи&Переводы,QA,6,6.0,0.0,1.0
Сбер РБ Платежи&Переводы,JAVA,6,3.0,3.0,0.5
"Retrain.ai, inc",NODE_JS,6,2.0,4.0,0.3333333333333333
"Retrain.ai, inc",PYTHON,6,2.0,4.0,0.3333333333333333
"Retrain.ai, inc",REACT,6,2.0,4.0,0.3333333333333333
Allianz Technology,DATA_ENGINEER_DBA,6,6.0,0.0,1.0
Ланит - ВТБ,REACT,6,6.0,0.0,1.0
Phenom People,UX_UI,6,4.0,2.0,0.6666666666666666
Ростелеком #2,REACT,6,6.0,0.0,1.0
Ростелеком #2,ROR,6,6.0,0.0,1.0
Ростелеком #2,RUBY,6,6.0,0.0,1.0
tabby SA,REACT_NATIVE,6,0.0,6.0,0.0
ГО ИНВЕСТ,QA_PERFORMANCE,6,0.0,6.0,0.0
Allianz Partners,JAVA,6,1.0,5.0,0.16666666666666666
Accenture Russia,"POWER_BI,SQL",6,0.0,6.0,0.0
ГО ИНВЕСТ,QA_AUTOMATION_ENGINEER_JAVA,6,0.0,6.0,0.0
msg Plaut Austria GmbH,ANDROID,6,0.0,6.0,0.0
Brandoo,REACT_NATIVE,6,4.0,2.0,0.6666666666666666
Scytl,"JAVA,PYTHON",6,4.0,2.0,0.6666666666666666
Softeq Minsk,QA_AUTOMATION_ENGINEER_JS,6,6.0,0.0,1.0
Манго телеком,QA_ENGINEER,6,6.0,0.0,1.0
msg Plaut Austria GmbH,JAVA,6,2.0,4.0,0.3333333333333333
Манго телеком,QA_AUTOMATION_ENGINEER_JAVA,6,6.0,0.0,1.0
Datagile,"REACT,TYPE_SCRIPT",6,1.0,5.0,0.16666666666666666
Yara International,QA_AUTOMATION,6,0.0,6.0,0.0
Банки.ру,QA_AUTOMATION_ENGINEER_JAVA,6,6.0,0.0,1.0
Compleet,VUE_JS,6,0.0,6.0,0.0
Уральский банк реконструкции и развития,QA_ENGINEER,6,6.0,0.0,1.0
Yara International,SOFTWARE_ARCHITECT,6,0.0,6.0,0.0
Банки.ру,ANDROID,6,6.0,0.0,1.0
Ecovium GmbH,BUSINESS_ANALYST,6,4.0,2.0,0.6666666666666666
M10 (PayPoint),DEVOPS,6,2.0,4.0,0.3333333333333333
Data Lens Labs Ltd,REACT,6,2.0,4.0,0.3333333333333333
Compleet,PHP,6,0.0,6.0,0.0
Duftner,JAVA,6,2.0,4.0,0.3333333333333333
Философия ИТ,QA_AUTOMATION,6,3.0,3.0,0.5
Банки.ру,NODE_JS,6,6.0,0.0,1.0
ГО ИНВЕСТ,IOS,6,0.0,6.0,0.0
MemberNova,QA_AUTOMATION,6,4.0,2.0,0.6666666666666666
Yara International,PRODUCT_OWNER,6,6.0,0.0,1.0
Манго телеком,NODE_JS,6,6.0,0.0,1.0
Яндекс Медиалаб,ANDROID,6,0.0,6.0,0.0
Yara International,NET,6,6.0,0.0,1.0
WorldR,"VUE_JS,TYPE_SCRIPT",6,3.0,3.0,0.5
Банк Синара (СКБ-банк),SYSTEM_ANALYST,6,3.0,3.0,0.5
X5 Retail Group Портал поставщика,"PHP,REACT,TYPE_SCRIPT",5,0.0,5.0,0.0
X5 Retail Group Портал поставщика,REACT,5,0.0,5.0,0.0
МТС Диджитал,IOS,5,5.0,0.0,1.0
StormPay,JAVA,5,5.0,0.0,1.0
МТС Диджитал,DEVOPS,5,5.0,0.0,1.0
StormPay,QA_MOBILE,5,0.0,5.0,0.0
ПАО Банк «ФК Открытие»,"JAVA,NET,PYTHON,GO,RUBY",5,5.0,0.0,1.0
МТС Диджитал,ANDROID,5,5.0,0.0,1.0
X5 Retail Group Портал поставщика,GO,5,5.0,0.0,1.0
X5 Retail Group Портал поставщика,IOS,5,0.0,5.0,0.0
ПАО Банк «ФК Открытие»,QA_PERFORMANCE,5,0.0,5.0,0.0
X5 Retail Group Портал поставщика,"KOTLIN,SPRING,SCALA",5,5.0,0.0,1.0
ПАО Банк «ФК Открытие»,QA_AUTOMATION_ENGINEER_JAVA,5,5.0,0.0,1.0
ПАО Банк «ФК Открытие»,NET,5,5.0,0.0,1.0
X5 Retail Group Портал поставщика,"JAVA,KOTLIN,SPRING",5,0.0,5.0,0.0
ПАО Банк «ФК Открытие»,QA_AUTOMATION,5,0.0,5.0,0.0
StormPay,QA_AUTOMATION,5,5.0,0.0,1.0
Jusan Bank - Staff augmentation,IOS,5,0.0,5.0,0.0
Сбер РБ ДомКлик_ЕФС,QA,5,5.0,0.0,1.0
Global Shares Ireland Limited,SCRUM_MASTER,5,5.0,0.0,1.0
Jusan Bank - Staff augmentation,SYSTEM_ANALYST,5,0.0,5.0,0.0
Jusan Bank - Staff augmentation,BUSINESS_ANALYST,5,0.0,5.0,0.0
Сбер РБ ДомКлик_ЕФС,SYSTEM_ANALYST,5,0.0,5.0,0.0
Сбер РБ ДомКлик_ЕФС,REACT,5,0.0,5.0,0.0
Mondia group,SPRING,5,5.0,0.0,1.0
Сбер РБ ДомКлик_ЕФС,"JAVA,SPRING",5,0.0,5.0,0.0
Jusan Bank - Staff augmentation,ANGULAR_JS,5,0.0,5.0,0.0
Сбер РБ - Домклик,ANDROID,5,0.0,5.0,0.0
Crystal Blockchain,NODE_JS,4,0.0,4.0,0.0
Ververica,JAVA,4,0.0,4.0,0.0
Ингосстрах-Инвестиции,"SYSTEM_ANALYST,BUSINESS_ANALYST",4,0.0,4.0,0.0
Paysera,PRODUCT_OWNER,4,0.0,4.0,0.0
Booking Group Corporation,BUSINESS_ANALYST,4,0.0,4.0,0.0
Crystal Blockchain,GO,4,0.0,4.0,0.0
Ингосстрах-Инвестиции,IOS,4,4.0,0.0,1.0
Ингосстрах-Инвестиции,DEVOPS,4,0.0,4.0,0.0
Ингосстрах-Инвестиции,C_SHARP,4,4.0,0.0,1.0
Data Lens Labs Ltd,QA,4,0.0,4.0,0.0
msg Plaut Austria GmbH,PYTHON,4,2.0,2.0,0.5
Majorel,"NET,C_SHARP",4,0.0,4.0,0.0
Moovforge,PROJECT_MANAGEMENT,4,4.0,0.0,1.0
ABB Switzerland Ltd,"REACT,REDUX,C_SHARP,TYPE_SCRIPT,NET",4,0.0,4.0,0.0
Exinity,QA_AUTOMATION_ENGINEER_PYTHON,4,0.0,4.0,0.0
X5 Retail Group. 5POST,QA_ENGINEER,4,0.0,4.0,0.0
People Intelligence,PROJECT_MANAGEMENT,4,3.0,1.0,0.75
Exness,UX_UI,4,0.0,4.0,0.0
Exness,SYSTEM_ANALYST,4,4.0,0.0,1.0
Letsbloom,RUBY,4,2.0,2.0,0.5
IPF digital,QA_ENGINEER,4,0.0,4.0,0.0
IPF digital (WEB),REACT,4,4.0,0.0,1.0
МАГНИТ,REACT,4,4.0,0.0,1.0
Booking Group Corporation,DEVOPS,4,0.0,4.0,0.0
Ланит - ВТБ,"ANDROID,KOTLIN",4,2.0,2.0,0.5
Ланит - ВТБ,SYSTEM_ANALYST,4,4.0,0.0,1.0
Crystal Blockchain,PYTHON,4,0.0,4.0,0.0
msg Plaut Austria GmbH,DEVOPS,4,0.0,4.0,0.0
msg Plaut Austria GmbH,BUSINESS_ANALYST,4,4.0,0.0,1.0
МАГНИТ,JAVA,4,4.0,0.0,1.0
Emma Sleep GmbH,IOS,4,2.0,2.0,0.5
inDriver,GO,4,0.0,4.0,0.0
msg Plaut Austria GmbH,QA_AUTOMATION_ENGINEER_PYTHON,4,0.0,4.0,0.0
МАГНИТ,QA_ARCHITECT,4,0.0,4.0,0.0
Roibox,NET,4,4.0,0.0,1.0
River Tech,ANGULAR,4,0.0,4.0,0.0
Ланит - Сбер,JAVA,4,4.0,0.0,1.0
I-Teco,JAVA,4,3.0,1.0,0.75
SupplyStack,PROJECT_MANAGEMENT,4,0.0,4.0,0.0
Brandoo,"QA_ENGINEER,QA_MOBILE",4,0.0,4.0,0.0
Publicis Media DE,REACT,4,0.0,4.0,0.0
Comparis,REACT,4,1.0,3.0,0.25
Booking Group Corporation,NET,4,0.0,4.0,0.0
PropertyGuru Group,REACT_NATIVE,4,2.0,2.0,0.5
МАГНИТ,QA_AUTOMATION,4,4.0,0.0,1.0
Publicis Media DE,DATA_ENGINEER_DBA,4,0.0,4.0,0.0
Roibox,ANGULAR,4,4.0,0.0,1.0
Quincus,GO,4,4.0,0.0,1.0
Chrsolutions,NET,4,2.0,2.0,0.5
Сбер РБ Социальные и зарплатные решения,SYSTEM_ANALYST,4,2.0,2.0,0.5
Ланит - Сбер,SYSTEM_ANALYST,3,1.0,2.0,0.3333333333333333
JTI (Japan Tobacco International),GO,3,0.0,3.0,0.0
Allianz Partners,SYSTEM_ANALYST,3,1.0,2.0,0.3333333333333333
eurofunk,JAVA,3,1.0,2.0,0.3333333333333333
Allianz Partners (MultiLob),UX_UI,3,0.0,3.0,0.0
Allianz Partners,QA_AUTOMATION_ENGINEER_JAVA,3,2.0,1.0,0.6666666666666666
Softeq Minsk,BUSINESS_ANALYST,3,3.0,0.0,1.0
WorldR,"GO,VUE_JS",3,0.0,3.0,0.0
Bundle,IOS,3,3.0,0.0,1.0
Сбер РБ Кошелек Клиента (ФИТ),JAVA,3,3.0,0.0,1.0
WorldR,"GO,POSTGRESQL",3,0.0,3.0,0.0
