,project_name,technology,status
4230,Jusan Bank - Staff augmentation,JAVA,0
4241,Phenom People,UX_UI,0
4246,IPF digital (WEB),REACT,0
4247,IPF digital (WEB),REACT,0
4248,IPF digital (WEB),REACT,0
4260,Ланит - Сбер,SYSTEM_ANALYST,0
4264,IPF digital (WEB),REACT,0
4306,Bundle,IOS,0
4312,Softeq Minsk,IOS,0
4315,Банки.ру,PHP,0
4323,IPF digital (Java),JAVA,0
4327,МЦ НТТ - TM (РТК Контакт-центр),QA_AUTOMATION_ENGINEER_JAVA,0
4338,Softeq Minsk,BUSINESS_ANALYST,0
4341,X5 Retail Group Портал поставщика,PYTHON,0
4345,NEXR Technologies SE,REACT,0
4347,Moovforge,REACT,0
4387,X5 Retail Group Портал поставщика,PYTHON,0
4413,Team Force,IOS,0
4448,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
4459,Банки.ру,REACT,0
4467,Duftner,JAVA,0
4469,ПАО Банк «ФК Открытие»,ANDROID,0
4480,Сбер РБ Платежи&Переводы,JAVA,0
4487,Банк Синара (СКБ-банк),SYSTEM_ANALYST,0
4503,Сбербанк Казахстан,ANDROID,0
4518,Ланит - ВТБ,JAVA,0
4521,МЦ НТТ - TM (РТК Контакт-центр),PROJECT_MANAGEMENT,0
4562,МТС Диджитал,GO,0
4566,ПАО Банк «ФК Открытие»,NET,0
4592,СБЕР РБ Цифровая Платформа,SYSTEM_ANALYST,0
4611,Compleet,UX_UI,0
4627,I-Teco,JAVA,0
4656,Альфа-банк,JAVA,0
4657,Альфа-банк,JAVA,0
4660,МТС Диджитал,GO,0
4681,IHS,QA_AUTOMATION_C_SHARP,0
4697,IPF digital (Java),JAVA,0
4699,Альфа-банк,JAVA,0
4779,Team Force,IOS,0
4780,IHS,NET,0
4809,СБЕР КИБ Брокерский Бизнес,SYSTEM_ANALYST,0
4877,Ланит - ВТБ,JAVA,0
4884,Softeq Minsk,QA_AUTOMATION_ENGINEER_JS,0
4896,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
4927,Банки.ру,ANDROID,0
4930,Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,0
4964,Яндекс Медиалаб,DATA_ANALYST,0
4985,MemberNova,SYSTEM_ANALYST,0
5029,Emma Sleep GmbH,IOS,0
5035,МТС Диджитал,GO,0
5071,Яндекс Медиалаб,PYTHON,0
5077,МТС Диджитал,NET,0
5080,Альфа-банк,SYSTEM_ANALYST,0
5088,Уральский банк реконструкции и развития,JAVA,0
5115,Банки.ру,PHP,0
5129,X5 Retail Group Портал поставщика,PYTHON,0
5138,"Retrain.ai, inc",PYTHON,0
5139,Альфа-банк,BUSINESS_ANALYST,0
5141,Уральский банк реконструкции и развития,REACT,0
5142,X5 Retail Group Портал поставщика,UX_UI,0
5151,Сбер РБ Социальные и зарплатные решения,SYSTEM_ANALYST,0
5154,Сбер РБ Платежи&Переводы,QA,0
5166,Философия ИТ,JAVA,0
5174,Ланит - Сбер,REACT,0
5180,Team Force,IOS,0
5182,Team Force,IOS,0
5192,Exness,DEVOPS,0
5214,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
5220,Thryve (mHealth Pioneers GmbH),JAVA,0
5227,Альфа-банк,SYSTEM_ANALYST,0
5240,Team Force,JAVA,0
5241,Jusan Bank - Staff augmentation,JAVA,0
5264,Уральский банк реконструкции и развития,REACT,0
5345,Уральский банк реконструкции и развития,JAVA,0
5368,Сбер РБ ДомКлик_ЕФС,QA,0
5430,СБЕР КИБ Брокерский Бизнес,SYSTEM_ANALYST,0
5442,Уральский банк реконструкции и развития,REACT,0
5472,Exness,DEVOPS,0
5608,msg Plaut Austria GmbH,PYTHON,0
1401,Уральский банк реконструкции и развития,PHP,0
1402,Уральский банк реконструкции и развития,SYMFONY,0
