,project_name,technology,status
793,Rush Street Interactive,UX_UI,0
795,Paysera,PHP,0
799,Философия ИТ,JAVA,0
800,Альфа-банк,JAVA,0
807,Ингосстрах-Инвестиции,SYSTEM_ANALYST,0
809,Backbase,IOS,0
818,Datagile,REACT,0
822,Самолёт Венчурс - Плафторма Самолёт+,DEVOPS,0
829,Ростелеком #2,SYSTEM_ANALYST,0
836,Альфа-банк,ANDROID,0
837,Global Shares Ireland Limited,QA_ENGINEER,0
838,eurofunk,QA_ENGINEER,0
839,IHS,NET,0
842,Backbase,ANDROID,0
845,Shieldpay,NODE_JS,0
847,Альфа-банк,IOS,0
848,M10 (PayPoint),QA_AUTOMATION_ENGINEER_JAVA,0
849,Альфа-банк,IOS,0
854,Самолёт Венчурс - Плафторма Самолёт+,SOLUTIONS_ARCHITECT,0
875,МТС Диджитал,ORACLE,0
880,Ингосстрах-Инвестиции,SYSTEM_ANALYST,0
881,Ингосстрах-Инвестиции,BUSINESS_ANALYST,0
886,Moonfare,REACT,0
887,Альфа-банк,QA_AUTOMATION_C_SHARP,0
911,Backbase,JAVA,0
917,Global Shares Ireland Limited,SOFTWARE_ARCHITECT,0
919,Альфа-банк,IOS,0
923,Альфа-банк,SYSTEM_ANALYST,0
926,Ингосстрах-Инвестиции,BUSINESS_ANALYST,0
931,Альфа-банк,JAVA,0
945,IHS,NET,0
952,Альфа-банк,JAVA,0
955,Global Shares Ireland Limited,QA_ENGINEER,0
965,BlueBridge Technologies,QA_ENGINEER,0
979,JTI (Japan Tobacco International),PHP,0
980,Самолёт Венчурс - Плафторма Самолёт+,NET,0
983,ANIXE,NET,0
984,Сбер РБ - Домклик,SYSTEM_ANALYST,0
989,Альфа-банк,IOS,0
990,Тинькофф Банк,IOS,0
994,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
997,СберМаркет,RUBY,0
1011,Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,0
1013,Exinity,SYSTEM_ANALYST,0
1014,Exinity,SYSTEM_ANALYST,0
1021,Тинькофф Банк,JAVA,0
1024,Альфа-банк,ANDROID,0
